Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
AZUAY;-2,863489712;-78,96482737;43;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/02/2022;ENCONTRADO;24/02/2022
GUAYAS;-2,2402791;-79,9220686;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;22/02/2022;ENCONTRADO;24/02/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,3051896;-79,1541478;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;04/02/2022;ENCONTRADO;24/02/2022
GUAYAS;-2,142722;-79,5979162;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;18/02/2022;ENCONTRADO;24/02/2022
GUAYAS;-2,905096;-79,700577;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/02/2022;ENCONTRADO;10/03/2022
ZAMORA CHINCHIPE;-4,067758709;-78,95367892;20;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;22/02/2022;ENCONTRADO;24/02/2022
AZUAY;-2,89579308;-78,98232939;18;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/02/2022;ENCONTRADO;26/02/2022
MANABI;-0,7140022;-80,109357;10;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/02/2022;ENCONTRADO;21/02/2022
MORONA SANTIAGO;-2,4566285;-78,1678439;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;08/02/2022;ENCONTRADO;24/02/2022
GUAYAS;-2,3807839;-79,627785;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/01/2022;ENCONTRADO;26/02/2022
MORONA SANTIAGO;-3,0731769;-78,3387066;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/02/2022;ENCONTRADO;25/02/2022
PICHINCHA;-0,300783;-78,5386078;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;09/02/2022;ENCONTRADO;25/02/2022
COTOPAXI;-0,944913095;-79,22050628;18;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/02/2022;ENCONTRADO;25/02/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,38585807;-79,37161227;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/02/2022;ENCONTRADO;23/02/2022
MORONA SANTIAGO;-2,254741329;-78,12644862;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;22/02/2022;ENCONTRADO;25/02/2022
TUNGURAHUA;-1,215918;-78,4638274;27;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;24/02/2022;ENCONTRADO;25/02/2022
PICHINCHA;-0,1487946;-78,5064473;31;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/02/2022;ENCONTRADO;24/02/2022
PICHINCHA;-0,267924163;-78,53754301;15;MUJER;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;21/02/2022;ENCONTRADO;24/02/2022
EL ORO;-3,254095463;-79,93320334;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/02/2022;ENCONTRADO;25/02/2022
GUAYAS;-2,189794255;-79,88047397;29;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;25/07/2022;ENCONTRADO;26/07/2022
ZAMORA CHINCHIPE;-3,8204042;-78,7586868;29;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/08/2022;ENCONTRADO;29/08/2022
PICHINCHA;-0,1324378;-78,4684454;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/08/2022;ENCONTRADO;29/08/2022
IMBABURA;0,226721234;-78,27487359;15;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/08/2022;ENCONTRADO;30/08/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,249408912;-79,18291918;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/02/2022;ENCONTRADO;21/02/2022
CARCHI;0,793463415;-77,73950459;30;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/02/2022;ENCONTRADO;25/02/2022
GUAYAS;-2,1328143;-79,9703317;23;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/02/2022;ENCONTRADO;26/02/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,25899322;-79,11954403;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/02/2022;ENCONTRADO;25/02/2022
PICHINCHA;-0,297998449;-78,56360056;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/02/2022;ENCONTRADO;25/02/2022
ESMERALDAS;0,986604285;-79,65791404;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;07/10/2022;ENCONTRADO;08/10/2022
PICHINCHA;-0,1387661;-78,4359341;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/07/2022;ENCONTRADO;09/08/2022
PICHINCHA;-0,256513481;-78,5515657;62;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;11/02/2022;ENCONTRADO;23/02/2022
PICHINCHA;-0,308989611;-78,57318179;16;MUJER;PROBLEMAS SOCIALES;PANDILLAS;13/02/2022;ENCONTRADO;26/02/2022
PICHINCHA;-0,0903553;-78,5192298;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/02/2022;ENCONTRADO;26/02/2022
IMBABURA;0,3509156;-78,1193702;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;09/02/2022;ENCONTRADO;10/02/2022
IMBABURA;0,3221693;-78,2067907;23;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/02/2022;ENCONTRADO;26/02/2022
IMBABURA;0,3386018;-78,1298421;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;22/01/2022;ENCONTRADO;24/01/2022
ZAMORA CHINCHIPE;-3,539769378;-78,52465343;21;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;21/02/2022;ENCONTRADO;26/02/2022
AZUAY;-2,9193853;-79,0524315;11;HOMBRE;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;23/02/2022;ENCONTRADO;27/02/2022
PASTAZA;-1,834090912;-77,82483675;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/02/2022;ENCONTRADO;26/02/2022
PICHINCHA;-0,2981009;-78,4354042;5;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;20/02/2022;ENCONTRADO;26/02/2022
MORONA SANTIAGO;-2,307215641;-78,12108951;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/02/2022;ENCONTRADO;26/02/2022
CHIMBORAZO;-1,6475725;-78,6803982;15;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/07/2022;ENCONTRADO;26/07/2022
SANTA ELENA;-2,2306406;-80,9001863;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/02/2022;ENCONTRADO;25/02/2022
PICHINCHA;-0,1238392;-78,5034902;20;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/02/2022;ENCONTRADO;26/02/2022
PICHINCHA;-0,2303178;-78,5192298;32;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/02/2022;ENCONTRADO;27/02/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,22838;-79,17483;22;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/02/2022;ENCONTRADO;23/02/2022
ESMERALDAS;0,933453272;-79,67113495;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/02/2022;ENCONTRADO;26/02/2022
LOS RIOS;-1,798759449;-79,54207008;38;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;05/02/2022;ENCONTRADO;17/02/2022
MANABI;-0,268779054;-79,43308527;1;HOMBRE;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;24/02/2022;ENCONTRADO;27/02/2022
PICHINCHA;-0,2538093;-78,5134436;53;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;14/02/2022;ENCONTRADO;02/03/2022
GUAYAS;-2,233699795;-79,94289805;27;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/02/2022;ENCONTRADO;26/02/2022
GUAYAS;-2,2840098;-79,8847104;20;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;07/02/2022;ENCONTRADO;27/02/2022
ESMERALDAS;0,711869117;-79,54530545;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/02/2022;ENCONTRADO;27/02/2022
GUAYAS;-2,2504114;-79,8901239;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/02/2022;ENCONTRADO;27/02/2022
PICHINCHA;-0,24411;-78,5163894;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/04/2022;ENCONTRADO;25/04/2022
EL ORO;-3,2705084;-79,9961404;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/02/2022;ENCONTRADO;28/02/2022
GUAYAS;-2,099004025;-79,91971849;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2022;ENCONTRADO;28/02/2022
IMBABURA;0,2260738;-78,2622578;15;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;24/02/2022;ENCONTRADO;25/02/2022
GUAYAS;-2,2438091;-79,9066763;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/02/2022;ENCONTRADO;28/02/2022
GUAYAS;-2,16257781;-79,79802393;51;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/02/2022;ENCONTRADO;28/02/2022
PICHINCHA;-0,1108838;-78,2945939;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;29/03/2022;ENCONTRADO;08/04/2022
PICHINCHA;-0,207062526;-78,44489874;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/01/2022;ENCONTRADO;03/03/2022
GUAYAS;-2,201813;-79,8990589;71;HOMBRE;FALLECIDO;MUERTE NATURAL;10/02/2022;FALLECIDO;28/02/2022
PASTAZA;-1,492440596;-78,02459567;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/02/2022;ENCONTRADO;28/02/2022
PICHINCHA;-0,299694397;-78,56451782;16;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/02/2022;ENCONTRADO;28/02/2022
PICHINCHA;-0,498907333;-78,56548357;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/02/2022;ENCONTRADO;28/02/2022
ESMERALDAS;0,9642281;-79,6400994;14;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;22/02/2022;ENCONTRADO;28/02/2022
AZUAY;-2,780331269;-78,96927019;39;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/02/2022;ENCONTRADO;28/02/2022
GUAYAS;-2,143892;-79,9172213;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/01/2022;ENCONTRADO;28/02/2022
GUAYAS;-2,128846;-79,9371685;27;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/02/2022;ENCONTRADO;28/02/2022
MANABI;-0,904862849;-80,13162591;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;07/03/2022;ENCONTRADO;08/03/2022
PICHINCHA;-0,2110767;-78,3762718;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/02/2022;ENCONTRADO;26/02/2022
LOS RIOS;-1,8070216;-79,48848498;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;25/02/2022;ENCONTRADO;27/02/2022
IMBABURA;0,35529939;-78,13501797;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/02/2022;ENCONTRADO;28/02/2022
IMBABURA;0,2271526;-78,2614161;14;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;04/02/2022;ENCONTRADO;28/02/2022
EL ORO;-3,2368706;-79,8184684;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;22/07/2022;ENCONTRADO;26/07/2022
CHIMBORAZO;-1,6705659;-78,6547858;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/07/2022;ENCONTRADO;26/07/2022
TUNGURAHUA;-1,299677;-78,7277814;76;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/07/2022;ENCONTRADO;26/07/2022
GUAYAS;-2,274095854;-79,89163046;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/02/2022;ENCONTRADO;25/02/2022
PICHINCHA;-0,0930389;-78,4174502;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;26/02/2022;ENCONTRADO;28/02/2022
PICHINCHA;-0,303744;-78,411613;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/02/2022;ENCONTRADO;21/02/2022
BOLIVAR;-1,2863062;-79,314894;12;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/01/2022;ENCONTRADO;28/02/2022
IMBABURA;0,3552973;-78,1250848;18;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;23/02/2022;ENCONTRADO;25/02/2022
IMBABURA;0,2378709;-78,2667073;17;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;22/02/2022;ENCONTRADO;28/02/2022
PICHINCHA;-0,327644;-78,5673547;15;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/02/2022;ENCONTRADO;25/02/2022
PICHINCHA;-0,3087683;-78,5547121;23;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/02/2022;ENCONTRADO;01/03/2022
GUAYAS;-2,104558975;-79,96644184;46;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;22/07/2022;ENCONTRADO;26/07/2022
IMBABURA;0,2378709;-78,2667073;14;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;22/02/2022;ENCONTRADO;28/02/2022
SUCUMBIOS;-0,036147047;-75,8527657;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;26/08/2022;ENCONTRADO;02/09/2022
CHIMBORAZO;-1,6718665;-78,6630954;26;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;18/07/2022;ENCONTRADO;27/07/2022
GUAYAS;-2,119362876;-79,94905472;33;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;08/02/2022;ENCONTRADO;30/08/2022
EL ORO;-3,256375;-79,9322527;39;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;25/02/2022;ENCONTRADO;01/03/2022
TUNGURAHUA;-1,2760056;-78,585247;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/02/2022;ENCONTRADO;01/03/2022
MANABI;-0,262873;-79,47691;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/02/2022;ENCONTRADO;01/03/2022
CAÑAR;-2,814077;-78,8948741;21;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/07/2022;ENCONTRADO;05/08/2022
CHIMBORAZO;-2,0202543;-78,973717;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/07/2022;ENCONTRADO;27/07/2022
TUNGURAHUA;-1,2864758;-78,6471752;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;21/02/2022;ENCONTRADO;28/02/2022
CHIMBORAZO;-1,674679492;-78,65129098;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/02/2022;ENCONTRADO;26/02/2022
GUAYAS;-2,0988723;-79,9542438;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/07/2022;ENCONTRADO;20/07/2022
GUAYAS;-2,1753207;-79,9003786;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/06/2022;ENCONTRADO;26/07/2022
MANABI;-1,045015445;-80,43838582;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;28/08/2022;ENCONTRADO;29/08/2022
PICHINCHA;-0,291774;-78,5672818;22;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/08/2022;ENCONTRADO;31/08/2022
AZUAY;-2,8993951;-78,9754862;34;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;07/10/2022;ENCONTRADO;09/10/2022
PICHINCHA;0,004868209;-78,44830517;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/05/2022;ENCONTRADO;27/08/2022
GUAYAS;-2,247564;-79,892338;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/02/2022;ENCONTRADO;02/03/2022
GUAYAS;-2,1233493;-79,5934325;40;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/02/2022;ENCONTRADO;02/03/2022
CARCHI;0,8150687;-77,7165925;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/03/2022;ENCONTRADO;02/03/2022
GUAYAS;-2,1225293;-80,000135;44;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/07/2022;ENCONTRADO;26/07/2022
LOS RIOS;-1,118331759;-79,43972529;38;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;22/02/2022;ENCONTRADO;24/02/2022
PICHINCHA;-0,2984021;-78,5652088;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/02/2022;ENCONTRADO;13/03/2022
LOS RIOS;-1,803227966;-79,53293145;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/02/2022;ENCONTRADO;02/03/2022
MANABI;-0,3316551;-79,6052884;63;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;28/02/2022;ENCONTRADO;03/03/2022
GUAYAS;-2,1270851;-79,9241673;22;MUJER;SIN_DATO;SIN_DATO;17/05/2022;DESAPARECIDO;SIN_DATO
CARCHI;0,831816204;-77,70954281;29;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/03/2022;ENCONTRADO;02/03/2022
LOS RIOS;-1,799911378;-79,53652024;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/02/2022;ENCONTRADO;22/02/2022
PICHINCHA;-0,3202923;-78,5650315;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/02/2022;ENCONTRADO;02/03/2022
LOS RIOS;-1,186019064;-79,50572976;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/02/2022;ENCONTRADO;14/03/2022
LOS RIOS;-1,891670384;-79,60118294;32;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/01/2022;ENCONTRADO;23/02/2022
LOS RIOS;-1,891670384;-79,60118294;21;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/01/2022;ENCONTRADO;23/02/2022
AZUAY;-2,893738249;-79,03766304;40;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;21/02/2022;ENCONTRADO;02/03/2022
GUAYAS;-2,123223291;-79,59686478;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/02/2022;ENCONTRADO;02/03/2022
ESMERALDAS;0,956511771;-79,65453738;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/02/2022;ENCONTRADO;24/02/2022
COTOPAXI;-0,930644771;-78,62953593;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/02/2022;ENCONTRADO;04/03/2022
TUNGURAHUA;-1,223539;-78,6340734;20;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;02/09/2022;ENCONTRADO;03/09/2022
PICHINCHA;-0,210691;-78,3955986;27;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/02/2022;ENCONTRADO;01/03/2022
PICHINCHA;-0,128920629;-78,5140836;76;HOMBRE;FALLECIDO;NO DETERMINADA;27/02/2022;FALLECIDO;03/03/2022
EL ORO;-3,2559896;-79,9947956;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/02/2022;ENCONTRADO;02/03/2022
PICHINCHA;-0,2564719;-78,5344214;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/02/2022;ENCONTRADO;02/03/2022
ESMERALDAS;0,307166;-79,462137;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/02/2022;ENCONTRADO;01/03/2022
AZUAY;-2,8663861;-78,885453;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/02/2022;ENCONTRADO;03/03/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,223624891;-79,16252681;79;MUJER;FALLECIDO;SUICIDIO;29/03/2022;FALLECIDO;06/04/2022
GUAYAS;-2,2252728;-79,9046708;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/02/2022;ENCONTRADO;02/03/2022
GUAYAS;-2,1394446;-79,5949417;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/10/2022;ENCONTRADO;09/10/2022
COTOPAXI;-0,823843832;-78,66876132;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/02/2022;ENCONTRADO;26/02/2022
GUAYAS;-2,2128969;-79,904257;12;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/03/2022;ENCONTRADO;01/03/2022
PICHINCHA;-0,0743121;-78,4624064;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;07/02/2022;ENCONTRADO;02/03/2022
PICHINCHA;-0,331479059;-78,5299274;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/02/2022;ENCONTRADO;03/03/2022
PICHINCHA;-0,3086002;-78,5618265;22;HOMBRE;FALLECIDO;ACCIDENTAL;26/02/2022;FALLECIDO;28/02/2022
CHIMBORAZO;-1,6779756;-78,6452083;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/02/2022;ENCONTRADO;02/03/2022
GUAYAS;-2,2126226;-79,912514;40;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;14/02/2022;ENCONTRADO;03/03/2022
GUAYAS;-2,2438091;-79,9066763;58;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;02/03/2022;ENCONTRADO;03/03/2022
GUAYAS;-2,2162051;-79,902128;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;26/02/2022;ENCONTRADO;03/03/2022
COTOPAXI;-1,073388751;-78,59570933;34;HOMBRE;EXTRAVIADA;HOSPITALIZADO;26/02/2022;ENCONTRADO;02/03/2022
PICHINCHA;-0,325902731;-78,5501647;8;HOMBRE;SIN_DATO;SIN_DATO;12/03/2022;DESAPARECIDO;SIN_DATO
COTOPAXI;-0,932621475;-78,62302205;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;26/02/2022;ENCONTRADO;27/02/2022
GUAYAS;-2,1540218;-79,863146;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;26/02/2022;ENCONTRADO;03/03/2022
CHIMBORAZO;-1,62486026;-78,65027783;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/02/2022;ENCONTRADO;03/03/2022
CHIMBORAZO;-1,6650227;-78,6588786;17;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;02/03/2022;ENCONTRADO;03/03/2022
PICHINCHA;-0,1470622;-78,4592519;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/03/2022;ENCONTRADO;03/03/2022
GUAYAS;-2,0820049;-79,9229473;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/02/2022;ENCONTRADO;03/03/2022
PICHINCHA;-0,327644;-78,5673547;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/02/2022;ENCONTRADO;02/03/2022
PICHINCHA;-0,2805445;-78,5564017;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/02/2022;ENCONTRADO;02/03/2022
IMBABURA;0,2343005;-78,2610672;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/01/2022;ENCONTRADO;04/03/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,078824806;-79,28210988;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;22/02/2022;ENCONTRADO;03/03/2022
PICHINCHA;-0,127617507;-78,49762609;32;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/03/2022;ENCONTRADO;03/03/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,250458632;-79,2147213;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/02/2022;ENCONTRADO;02/03/2022
EL ORO;-3,2926467;-79,7603151;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/02/2022;ENCONTRADO;07/03/2022
COTOPAXI;-0,887883932;-79,18773016;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;20/01/2022;ENCONTRADO;04/03/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,26046282;-79,16724695;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/02/2022;ENCONTRADO;27/02/2022
ESMERALDAS;1,064282048;-79,26725693;12;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/02/2022;ENCONTRADO;03/03/2022
GUAYAS;-2,169492411;-79,83942824;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/02/2022;ENCONTRADO;03/03/2022
CHIMBORAZO;-1,665419399;-78,63570182;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;01/03/2022;ENCONTRADO;03/03/2022
MORONA SANTIAGO;-2,4566285;-78,1678439;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;01/03/2022;ENCONTRADO;03/03/2022
EL ORO;-3,476942294;-80,22072088;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/02/2022;ENCONTRADO;04/03/2022
